date,word,pos,pronunciation,difficulty,definition,explanation,example,memory,quiz,answer,prompt
2026-07-04,Perturb,verb,per-TURB,medium,to make someone feel anxious,Perturb is a verb meaning to make someone feel anxious. Use it when that meaning is exactly what you need in writing or speech.,The strange noise perturbed the campers all night.,from perturbare — to disturb,"What does ""perturb"" mean?",To make someone feel anxious.,"Give students 60 seconds to use ""perturb"" in an original sentence that shows it means ""to make someone feel anxious""."
2026-07-05,Apathy,noun,ap-a-THY,easy,"a lack of interest, emotion, or concern","Apathy is a noun meaning a lack of interest, emotion, or concern. Use it when that meaning is exactly what you need in writing or speech.",Voter apathy was blamed for the low turnout in the local election.,from apatheia — without feeling,"What does ""apathy"" mean?","A lack of interest, emotion, or concern.","Give students 60 seconds to use ""apathy"" in an original sentence that shows it means ""a lack of interest, emotion, or concern""."
2026-07-06,Philanthropy,noun,phi-lan-thro-PY,medium,the practice of giving to help others,Philanthropy is a noun meaning the practice of giving to help others. Use it when that meaning is exactly what you need in writing or speech.,Her philanthropy funded scholarships for years.,from philos + anthropos — loving people,"What does ""philanthropy"" mean?",The practice of giving to help others.,"Give students 60 seconds to use ""philanthropy"" in an original sentence that shows it means ""the practice of giving to help others""."
2026-07-07,Demagogue,noun,dem-a-GOGUE,hard,a leader who stirs up emotions to gain power,Demagogue is a noun meaning a leader who stirs up emotions to gain power. Use it when that meaning is exactly what you need in writing or speech.,The crowd was easily swayed by the demagogue's angry speech.,from demos + agogos — people leader,"What does ""demagogue"" mean?",A leader who stirs up emotions to gain power.,"Give students 60 seconds to use ""demagogue"" in an original sentence that shows it means ""a leader who stirs up emotions to gain power""."
2026-07-08,Placate,verb,pla-CATE,medium,to calm someone who is upset,Placate is a verb meaning to calm someone who is upset. Use it when that meaning is exactly what you need in writing or speech.,She offered a refund to placate the angry buyer.,from placare — to soothe,"What does ""placate"" mean?",To calm someone who is upset.,"Give students 60 seconds to use ""placate"" in an original sentence that shows it means ""to calm someone who is upset""."
2026-07-09,Apprehensive,adjective,ap-pre-hen-SIVE,easy,worried that something bad might happen,Apprehensive is an adjective meaning worried that something bad might happen. Use it when that meaning is exactly what you need in writing or speech.,She felt apprehensive about giving the keynote speech.,from apprehendere — to seize,"What does ""apprehensive"" mean?",Worried that something bad might happen.,"Give students 60 seconds to use ""apprehensive"" in an original sentence that shows it means ""worried that something bad might happen""."
2026-07-10,Arbitrary,adjective,ar-bi-trar-Y,easy,"based on chance or personal choice, not reason","Arbitrary is an adjective meaning based on chance or personal choice, not reason. Use it when that meaning is exactly what you need in writing or speech.","The deadline felt arbitrary, with no clear reason behind it.",from arbiter — judge,"What does ""arbitrary"" mean?","Based on chance or personal choice, not reason.","Give students 60 seconds to use ""arbitrary"" in an original sentence that shows it means ""based on chance or personal choice, not reason""."
2026-07-11,Ponderous,adjective,pon-der-OUS,medium,slow and heavy; dull,Ponderous is an adjective meaning slow and heavy; dull. Use it when that meaning is exactly what you need in writing or speech.,The book had a ponderous opening chapter.,from pondus — weight,"What does ""ponderous"" mean?",Slow and heavy; dull.,"Give students 60 seconds to use ""ponderous"" in an original sentence that shows it means ""slow and heavy; dull""."
2026-07-12,Precarious,adjective,pre-car-i-OUS,medium,unstable and risky,Precarious is an adjective meaning unstable and risky. Use it when that meaning is exactly what you need in writing or speech.,The vase sat in a precarious spot on the shelf.,from precarius — obtained by prayer,"What does ""precarious"" mean?",Unstable and risky.,"Give students 60 seconds to use ""precarious"" in an original sentence that shows it means ""unstable and risky""."
2026-07-13,Denigrate,verb,den-i-GRATE,hard,to attack the reputation of someone,Denigrate is a verb meaning to attack the reputation of someone. Use it when that meaning is exactly what you need in writing or speech.,He refused to denigrate his opponent in the debate.,from denigrare — to blacken,"What does ""denigrate"" mean?",To attack the reputation of someone.,"Give students 60 seconds to use ""denigrate"" in an original sentence that shows it means ""to attack the reputation of someone""."
2026-07-14,Precocious,adjective,pre-co-CIOUS,medium,developing ability earlier than usual,Precocious is an adjective meaning developing ability earlier than usual. Use it when that meaning is exactly what you need in writing or speech.,The precocious child read at a high-school level by age seven.,from praecox — ripened early,"What does ""precocious"" mean?",Developing ability earlier than usual.,"Give students 60 seconds to use ""precocious"" in an original sentence that shows it means ""developing ability earlier than usual""."
2026-07-15,Articulate,adjective,ar-tic-u-LATE,easy,able to express ideas clearly,Articulate is an adjective meaning able to express ideas clearly. Use it when that meaning is exactly what you need in writing or speech.,She was an articulate speaker even under tough questioning.,from articulus — small joint,"What does ""articulate"" mean?",Able to express ideas clearly.,"Give students 60 seconds to use ""articulate"" in an original sentence that shows it means ""able to express ideas clearly""."
2026-07-16,Preeminent,adjective,pre-em-i-NENT,medium,better than all others,Preeminent is an adjective meaning better than all others. Use it when that meaning is exactly what you need in writing or speech.,She is the preeminent scholar in her field.,from praeeminere — to surpass,"What does ""preeminent"" mean?",Better than all others.,"Give students 60 seconds to use ""preeminent"" in an original sentence that shows it means ""better than all others""."
2026-07-17,Diatribe,noun,di-a-TRIBE,hard,"a bitter, angry speech of criticism","Diatribe is a noun meaning a bitter, angry speech of criticism. Use it when that meaning is exactly what you need in writing or speech.",The coach launched into a diatribe about lazy play.,from diatribein — to wear away,"What does ""diatribe"" mean?","A bitter, angry speech of criticism.","Give students 60 seconds to use ""diatribe"" in an original sentence that shows it means ""a bitter, angry speech of criticism""."
2026-07-18,Pretentious,adjective,pre-ten-TIOUS,medium,trying to seem more important than one is,Pretentious is an adjective meaning trying to seem more important than one is. Use it when that meaning is exactly what you need in writing or speech.,His pretentious vocabulary lost half the audience.,from praetendere — to claim,"What does ""pretentious"" mean?",Trying to seem more important than one is.,"Give students 60 seconds to use ""pretentious"" in an original sentence that shows it means ""trying to seem more important than one is""."
2026-07-19,Benevolent,adjective,be-nev-o-LENT,easy,kind and wanting to do good,Benevolent is an adjective meaning kind and wanting to do good. Use it when that meaning is exactly what you need in writing or speech.,The benevolent stranger paid for the family's groceries.,from bene + volens — well wishing,"What does ""benevolent"" mean?",Kind and wanting to do good.,"Give students 60 seconds to use ""benevolent"" in an original sentence that shows it means ""kind and wanting to do good""."
2026-07-20,Benign,adjective,be-NIGN,easy,"gentle, kind, or harmless","Benign is an adjective meaning gentle, kind, or harmless. Use it when that meaning is exactly what you need in writing or speech.","The growth turned out to be benign, much to her relief.",from benignus — kind,"What does ""benign"" mean?","Gentle, kind, or harmless.","Give students 60 seconds to use ""benign"" in an original sentence that shows it means ""gentle, kind, or harmless""."
2026-07-21,Pristine,adjective,pris-TINE,medium,perfectly clean and untouched,Pristine is an adjective meaning perfectly clean and untouched. Use it when that meaning is exactly what you need in writing or speech.,The pristine lake reflected the sky like glass.,"from pristinus — former, original","What does ""pristine"" mean?",Perfectly clean and untouched.,"Give students 60 seconds to use ""pristine"" in an original sentence that shows it means ""perfectly clean and untouched""."
2026-07-22,Profuse,adjective,pro-FUSE,medium,in great amounts,Profuse is an adjective meaning in great amounts. Use it when that meaning is exactly what you need in writing or speech.,He gave profuse thanks for the small favor.,from profundere — to pour out,"What does ""profuse"" mean?",In great amounts.,"Give students 60 seconds to use ""profuse"" in an original sentence that shows it means ""in great amounts""."
2026-07-23,Didactic,adjective,di-dac-TIC,hard,"intended to teach, often in a preachy way","Didactic is an adjective meaning intended to teach, often in a preachy way. Use it when that meaning is exactly what you need in writing or speech.",The novel was too didactic to feel like a real story.,from didaktikos — apt at teaching,"What does ""didactic"" mean?","Intended to teach, often in a preachy way.","Give students 60 seconds to use ""didactic"" in an original sentence that shows it means ""intended to teach, often in a preachy way""."
2026-07-24,Pungent,adjective,pun-GENT,medium,"having a strong, sharp smell or taste","Pungent is an adjective meaning having a strong, sharp smell or taste. Use it when that meaning is exactly what you need in writing or speech.",The pungent garlic filled the whole kitchen.,from pungere — to prick,"What does ""pungent"" mean?","Having a strong, sharp smell or taste.","Give students 60 seconds to use ""pungent"" in an original sentence that shows it means ""having a strong, sharp smell or taste""."
2026-07-25,Candid,adjective,can-DID,easy,open and honest,Candid is an adjective meaning open and honest. Use it when that meaning is exactly what you need in writing or speech.,"In a candid interview, the senator admitted past mistakes.","from candidus — white, pure","What does ""candid"" mean?",Open and honest.,"Give students 60 seconds to use ""candid"" in an original sentence that shows it means ""open and honest""."
2026-07-26,Quandary,noun,quan-da-RY,medium,a state of uncertainty about what to do,Quandary is a noun meaning a state of uncertainty about what to do. Use it when that meaning is exactly what you need in writing or speech.,He was in a quandary about which job to accept.,"origin uncertain, 16th-century English","What does ""quandary"" mean?",A state of uncertainty about what to do.,"Give students 60 seconds to use ""quandary"" in an original sentence that shows it means ""a state of uncertainty about what to do""."
2026-07-27,Diffident,adjective,dif-fi-DENT,hard,lacking confidence; shy,Diffident is an adjective meaning lacking confidence; shy. Use it when that meaning is exactly what you need in writing or speech.,He was too diffident to raise his hand even when he knew the answer.,from diffidere — to distrust,"What does ""diffident"" mean?",Lacking confidence; shy.,"Give students 60 seconds to use ""diffident"" in an original sentence that shows it means ""lacking confidence; shy""."
2026-07-28,Rapport,noun,rap-PORT,medium,a close and friendly relationship,Rapport is a noun meaning a close and friendly relationship. Use it when that meaning is exactly what you need in writing or speech.,The therapist built rapport with her clients quickly.,from rapporter — to bring back,"What does ""rapport"" mean?",A close and friendly relationship.,"Give students 60 seconds to use ""rapport"" in an original sentence that shows it means ""a close and friendly relationship""."
2026-07-29,Compliant,adjective,com-pli-ANT,easy,willing to follow rules or others' wishes,Compliant is an adjective meaning willing to follow rules or others' wishes. Use it when that meaning is exactly what you need in writing or speech.,The factory was fully compliant with safety regulations.,from complere — to fill up,"What does ""compliant"" mean?",Willing to follow rules or others' wishes.,"Give students 60 seconds to use ""compliant"" in an original sentence that shows it means ""willing to follow rules or others' wishes""."
2026-07-30,Concede,verb,con-CEDE,easy,to admit something is true or accept defeat,Concede is a verb meaning to admit something is true or accept defeat. Use it when that meaning is exactly what you need in writing or speech.,He had to concede that his rival's plan was better.,from concedere — to yield,"What does ""concede"" mean?",To admit something is true or accept defeat.,"Give students 60 seconds to use ""concede"" in an original sentence that shows it means ""to admit something is true or accept defeat""."
2026-07-31,Rebuke,verb,re-BUKE,medium,to scold sharply,Rebuke is a verb meaning to scold sharply. Use it when that meaning is exactly what you need in writing or speech.,The principal rebuked the students for skipping class.,from rebuchier — to beat back,"What does ""rebuke"" mean?",To scold sharply.,"Give students 60 seconds to use ""rebuke"" in an original sentence that shows it means ""to scold sharply""."
2026-08-01,Reciprocal,adjective,re-cip-ro-CAL,medium,given and received in return,Reciprocal is an adjective meaning given and received in return. Use it when that meaning is exactly what you need in writing or speech.,Their friendship was based on reciprocal respect.,from reciprocus — alternating,"What does ""reciprocal"" mean?",Given and received in return.,"Give students 60 seconds to use ""reciprocal"" in an original sentence that shows it means ""given and received in return""."
2026-08-02,Dogmatic,adjective,dog-mat-IC,hard,stubbornly insistent that one's views are correct,Dogmatic is an adjective meaning stubbornly insistent that one's views are correct. Use it when that meaning is exactly what you need in writing or speech.,His dogmatic style made open discussion impossible.,from dogma — opinion,"What does ""dogmatic"" mean?",Stubbornly insistent that one's views are correct.,"Give students 60 seconds to use ""dogmatic"" in an original sentence that shows it means ""stubbornly insistent that one's views are correct""."
2026-08-03,Recluse,noun,rec-LUSE,medium,a person who lives alone away from others,Recluse is a noun meaning a person who lives alone away from others. Use it when that meaning is exactly what you need in writing or speech.,The famous writer became a recluse in his later years.,from recludere — to shut away,"What does ""recluse"" mean?",A person who lives alone away from others.,"Give students 60 seconds to use ""recluse"" in an original sentence that shows it means ""a person who lives alone away from others""."
2026-08-04,Consensus,noun,con-sen-SUS,easy,general agreement among a group,Consensus is a noun meaning general agreement among a group. Use it when that meaning is exactly what you need in writing or speech.,The board reached a consensus after hours of discussion.,from consentire — to feel together,"What does ""consensus"" mean?",General agreement among a group.,"Give students 60 seconds to use ""consensus"" in an original sentence that shows it means ""general agreement among a group""."
2026-08-05,Relinquish,verb,re-lin-QUISH,medium,to give up something willingly,Relinquish is a verb meaning to give up something willingly. Use it when that meaning is exactly what you need in writing or speech.,She had to relinquish control of the company.,from relinquere — to leave behind,"What does ""relinquish"" mean?",To give up something willingly.,"Give students 60 seconds to use ""relinquish"" in an original sentence that shows it means ""to give up something willingly""."
2026-08-06,Duplicitous,adjective,du-plic-i-TOUS,hard,deceptive in speech or action,Duplicitous is an adjective meaning deceptive in speech or action. Use it when that meaning is exactly what you need in writing or speech.,His duplicitous behavior cost him several close friends.,from duplex — double,"What does ""duplicitous"" mean?",Deceptive in speech or action.,"Give students 60 seconds to use ""duplicitous"" in an original sentence that shows it means ""deceptive in speech or action""."
2026-08-07,Renown,noun,re-NOWN,medium,the state of being widely known,Renown is a noun meaning the state of being widely known. Use it when that meaning is exactly what you need in writing or speech.,The chef gained renown for her bold flavors.,from renomer — to make famous,"What does ""renown"" mean?",The state of being widely known.,"Give students 60 seconds to use ""renown"" in an original sentence that shows it means ""the state of being widely known""."
2026-08-08,Daunting,adjective,daunt-ING,easy,intimidating or seeming difficult to manage,Daunting is an adjective meaning intimidating or seeming difficult to manage. Use it when that meaning is exactly what you need in writing or speech.,The mountain of paperwork was a daunting sight.,from danter — to tame,"What does ""daunting"" mean?",Intimidating or seeming difficult to manage.,"Give students 60 seconds to use ""daunting"" in an original sentence that shows it means ""intimidating or seeming difficult to manage""."
2026-08-09,Deter,verb,de-TER,easy,to discourage someone from doing something,Deter is a verb meaning to discourage someone from doing something. Use it when that meaning is exactly what you need in writing or speech.,Higher fees did not deter applicants from applying.,from deterrere — to frighten away,"What does ""deter"" mean?",To discourage someone from doing something.,"Give students 60 seconds to use ""deter"" in an original sentence that shows it means ""to discourage someone from doing something""."
2026-08-10,Reproach,verb,re-PROACH,medium,to express disappointment to someone,Reproach is a verb meaning to express disappointment to someone. Use it when that meaning is exactly what you need in writing or speech.,"She did not reproach him, though she was hurt.",from reprochier — to bring close,"What does ""reproach"" mean?",To express disappointment to someone.,"Give students 60 seconds to use ""reproach"" in an original sentence that shows it means ""to express disappointment to someone""."
2026-08-11,Rescind,verb,re-SCIND,medium,to officially cancel,Rescind is a verb meaning to officially cancel. Use it when that meaning is exactly what you need in writing or speech.,The college had to rescind several admission offers.,from rescindere — to cut off,"What does ""rescind"" mean?",To officially cancel.,"Give students 60 seconds to use ""rescind"" in an original sentence that shows it means ""to officially cancel""."
2026-08-12,Ebullient,adjective,e-bul-li-ENT,hard,cheerfully full of energy,Ebullient is an adjective meaning cheerfully full of energy. Use it when that meaning is exactly what you need in writing or speech.,The ebullient crowd cheered every play.,from ebullire — to bubble out,"What does ""ebullient"" mean?",Cheerfully full of energy.,"Give students 60 seconds to use ""ebullient"" in an original sentence that shows it means ""cheerfully full of energy""."
2026-08-13,Reverence,noun,rev-er-ENCE,medium,deep respect,Reverence is a noun meaning deep respect. Use it when that meaning is exactly what you need in writing or speech.,The crowd held a moment of reverence for the late hero.,from revereri — to stand in awe,"What does ""reverence"" mean?",Deep respect.,"Give students 60 seconds to use ""reverence"" in an original sentence that shows it means ""deep respect""."
2026-08-14,Diligent,adjective,dil-i-GENT,easy,"showing steady, careful effort","Diligent is an adjective meaning showing steady, careful effort. Use it when that meaning is exactly what you need in writing or speech.",A diligent researcher checks every source twice.,from diligere — to value highly,"What does ""diligent"" mean?","Showing steady, careful effort.","Give students 60 seconds to use ""diligent"" in an original sentence that shows it means ""showing steady, careful effort""."
2026-08-15,Rhetoric,noun,rhet-o-RIC,medium,the art of persuasive speaking or writing,Rhetoric is a noun meaning the art of persuasive speaking or writing. Use it when that meaning is exactly what you need in writing or speech.,His rhetoric stirred the crowd but offered no plan.,from rhetorike — art of speech,"What does ""rhetoric"" mean?",The art of persuasive speaking or writing.,"Give students 60 seconds to use ""rhetoric"" in an original sentence that shows it means ""the art of persuasive speaking or writing""."
2026-08-16,Effusive,adjective,ef-fu-SIVE,hard,expressing feelings in a very emotional or overflowing way,Effusive is an adjective meaning expressing feelings in a very emotional or overflowing way. Use it when that meaning is exactly what you need in writing or speech.,Her effusive thanks made the host blush.,from effundere — to pour out,"What does ""effusive"" mean?",Expressing feelings in a very emotional or overflowing way.,"Give students 60 seconds to use ""effusive"" in an original sentence that shows it means ""expressing feelings in a very emotional or overflowing way""."
2026-08-17,Salient,adjective,sa-li-ENT,medium,most noticeable or important,Salient is an adjective meaning most noticeable or important. Use it when that meaning is exactly what you need in writing or speech.,Please list the salient points of the report.,from salire — to leap,"What does ""salient"" mean?",Most noticeable or important.,"Give students 60 seconds to use ""salient"" in an original sentence that shows it means ""most noticeable or important""."
2026-08-18,Dubious,adjective,du-bi-OUS,easy,doubtful or questionable,Dubious is an adjective meaning doubtful or questionable. Use it when that meaning is exactly what you need in writing or speech.,The salesman made dubious claims about the product's safety.,from dubium — doubt,"What does ""dubious"" mean?",Doubtful or questionable.,"Give students 60 seconds to use ""dubious"" in an original sentence that shows it means ""doubtful or questionable""."
2026-08-19,Elated,adjective,e-lat-ED,easy,extremely happy and excited,Elated is an adjective meaning extremely happy and excited. Use it when that meaning is exactly what you need in writing or speech.,She was elated to receive the scholarship letter.,from elatus — raised,"What does ""elated"" mean?",Extremely happy and excited.,"Give students 60 seconds to use ""elated"" in an original sentence that shows it means ""extremely happy and excited""."
2026-08-20,Scrupulous,adjective,scru-pu-LOUS,medium,"careful, honest, and thorough","Scrupulous is an adjective meaning careful, honest, and thorough. Use it when that meaning is exactly what you need in writing or speech.",She was scrupulous in tracking every receipt.,from scrupulus — sharp stone,"What does ""scrupulous"" mean?","Careful, honest, and thorough.","Give students 60 seconds to use ""scrupulous"" in an original sentence that shows it means ""careful, honest, and thorough""."
2026-08-21,Secular,adjective,sec-u-LAR,medium,not related to religion,Secular is an adjective meaning not related to religion. Use it when that meaning is exactly what you need in writing or speech.,Public schools teach a secular curriculum.,from saecularis — worldly,"What does ""secular"" mean?",Not related to religion.,"Give students 60 seconds to use ""secular"" in an original sentence that shows it means ""not related to religion""."
2026-08-22,Egregious,adjective,e-gre-GIOUS,hard,shockingly bad or noticeable,Egregious is an adjective meaning shockingly bad or noticeable. Use it when that meaning is exactly what you need in writing or speech.,The official made an egregious error during the broadcast.,from egregius — distinguished,"What does ""egregious"" mean?",Shockingly bad or noticeable.,"Give students 60 seconds to use ""egregious"" in an original sentence that shows it means ""shockingly bad or noticeable""."
2026-08-23,Serendipity,noun,ser-en-dip-i-TY,medium,good luck in finding things by chance,Serendipity is a noun meaning good luck in finding things by chance. Use it when that meaning is exactly what you need in writing or speech.,"By serendipity, they met again on the same flight.",coined 1754 by Horace Walpole,"What does ""serendipity"" mean?",Good luck in finding things by chance.,"Give students 60 seconds to use ""serendipity"" in an original sentence that shows it means ""good luck in finding things by chance""."
2026-08-24,Elusive,adjective,e-lu-SIVE,easy,"hard to find, catch, or describe","Elusive is an adjective meaning hard to find, catch, or describe. Use it when that meaning is exactly what you need in writing or speech.",The cause of the outage proved elusive for the engineers.,from eludere — to evade,"What does ""elusive"" mean?","Hard to find, catch, or describe.","Give students 60 seconds to use ""elusive"" in an original sentence that shows it means ""hard to find, catch, or describe""."
2026-08-25,Slander,noun,slan-DER,medium,a false spoken statement that harms reputation,Slander is a noun meaning a false spoken statement that harms reputation. Use it when that meaning is exactly what you need in writing or speech.,He filed suit over what he called slander.,from esclandre — scandal,"What does ""slander"" mean?",A false spoken statement that harms reputation.,"Give students 60 seconds to use ""slander"" in an original sentence that shows it means ""a false spoken statement that harms reputation""."
2026-08-26,Emaciated,adjective,e-ma-ci-at-ED,hard,abnormally thin from hunger or illness,Emaciated is an adjective meaning abnormally thin from hunger or illness. Use it when that meaning is exactly what you need in writing or speech.,The rescued dog was emaciated and needed careful feeding.,from emaciare — to make lean,"What does ""emaciated"" mean?",Abnormally thin from hunger or illness.,"Give students 60 seconds to use ""emaciated"" in an original sentence that shows it means ""abnormally thin from hunger or illness""."
2026-08-27,Solace,noun,sol-ACE,medium,comfort in times of sadness,Solace is a noun meaning comfort in times of sadness. Use it when that meaning is exactly what you need in writing or speech.,She found solace in long walks after the loss.,from solari — to console,"What does ""solace"" mean?",Comfort in times of sadness.,"Give students 60 seconds to use ""solace"" in an original sentence that shows it means ""comfort in times of sadness""."
2026-08-28,Empathy,noun,em-pa-THY,easy,the ability to share another's feelings,Empathy is a noun meaning the ability to share another's feelings. Use it when that meaning is exactly what you need in writing or speech.,Good nurses show empathy as well as skill.,from empatheia — feeling into,"What does ""empathy"" mean?",The ability to share another's feelings.,"Give students 60 seconds to use ""empathy"" in an original sentence that shows it means ""the ability to share another's feelings""."
2026-08-29,Exemplary,adjective,ex-em-pla-RY,easy,serving as a positive example,Exemplary is an adjective meaning serving as a positive example. Use it when that meaning is exactly what you need in writing or speech.,Her exemplary work earned her a promotion.,from exemplum — sample,"What does ""exemplary"" mean?",Serving as a positive example.,"Give students 60 seconds to use ""exemplary"" in an original sentence that shows it means ""serving as a positive example""."
2026-08-30,Somber,adjective,som-BER,medium,dark and serious,Somber is an adjective meaning dark and serious. Use it when that meaning is exactly what you need in writing or speech.,The mood at the memorial was somber but warm.,from sombre — dark,"What does ""somber"" mean?",Dark and serious.,"Give students 60 seconds to use ""somber"" in an original sentence that shows it means ""dark and serious""."
2026-08-31,Sporadic,adjective,spo-rad-IC,medium,happening occasionally and irregularly,Sporadic is an adjective meaning happening occasionally and irregularly. Use it when that meaning is exactly what you need in writing or speech.,Sporadic rain delayed the construction project.,from sporadikos — scattered,"What does ""sporadic"" mean?",Happening occasionally and irregularly.,"Give students 60 seconds to use ""sporadic"" in an original sentence that shows it means ""happening occasionally and irregularly""."
2026-09-01,Enervate,verb,en-er-VATE,hard,to drain of energy or strength,Enervate is a verb meaning to drain of energy or strength. Use it when that meaning is exactly what you need in writing or speech.,The long heat wave seemed to enervate the entire town.,from enervare — to weaken,"What does ""enervate"" mean?",To drain of energy or strength.,"Give students 60 seconds to use ""enervate"" in an original sentence that shows it means ""to drain of energy or strength""."
2026-09-02,Squander,verb,squan-DER,medium,to waste foolishly,Squander is a verb meaning to waste foolishly. Use it when that meaning is exactly what you need in writing or speech.,He managed to squander his savings in just six months.,"origin uncertain, 16th-century English","What does ""squander"" mean?",To waste foolishly.,"Give students 60 seconds to use ""squander"" in an original sentence that shows it means ""to waste foolishly""."
2026-09-03,Explicit,adjective,ex-plic-IT,easy,stated clearly and in detail,Explicit is an adjective meaning stated clearly and in detail. Use it when that meaning is exactly what you need in writing or speech.,The instructions were explicit about how to install the part.,from explicare — to unfold,"What does ""explicit"" mean?",Stated clearly and in detail.,"Give students 60 seconds to use ""explicit"" in an original sentence that shows it means ""stated clearly and in detail""."
2026-09-04,Stoic,adjective,sto-IC,medium,showing no emotion in the face of pain,Stoic is an adjective meaning showing no emotion in the face of pain. Use it when that meaning is exactly what you need in writing or speech.,"He was stoic during the long, difficult treatment.",from Stoa Poikile — painted porch,"What does ""stoic"" mean?",Showing no emotion in the face of pain.,"Give students 60 seconds to use ""stoic"" in an original sentence that shows it means ""showing no emotion in the face of pain""."
2026-09-05,Engender,verb,en-gen-DER,hard,to cause something to develop,Engender is a verb meaning to cause something to develop. Use it when that meaning is exactly what you need in writing or speech.,The policy engendered widespread debate among teachers.,from ingenerare — to produce,"What does ""engender"" mean?",To cause something to develop.,"Give students 60 seconds to use ""engender"" in an original sentence that shows it means ""to cause something to develop""."
2026-09-06,Sublime,adjective,sub-LIME,medium,of great excellence or beauty,Sublime is an adjective meaning of great excellence or beauty. Use it when that meaning is exactly what you need in writing or speech.,The view from the cliff was sublime at sunset.,from sublimis — lofty,"What does ""sublime"" mean?",Of great excellence or beauty.,"Give students 60 seconds to use ""sublime"" in an original sentence that shows it means ""of great excellence or beauty""."
2026-09-07,Fickle,adjective,fick-LE,easy,changing affections or opinions often,Fickle is an adjective meaning changing affections or opinions often. Use it when that meaning is exactly what you need in writing or speech.,The fickle crowd booed the same team they had cheered.,from Old English ficol — deceitful,"What does ""fickle"" mean?",Changing affections or opinions often.,"Give students 60 seconds to use ""fickle"" in an original sentence that shows it means ""changing affections or opinions often""."
2026-09-08,Frugal,adjective,fru-GAL,easy,careful with money and resources,Frugal is an adjective meaning careful with money and resources. Use it when that meaning is exactly what you need in writing or speech.,Her frugal habits let her save for a down payment.,from frugalis — thrifty,"What does ""frugal"" mean?",Careful with money and resources.,"Give students 60 seconds to use ""frugal"" in an original sentence that shows it means ""careful with money and resources""."
2026-09-09,Substantiate,verb,sub-stan-ti-ATE,medium,to provide evidence to support a claim,Substantiate is a verb meaning to provide evidence to support a claim. Use it when that meaning is exactly what you need in writing or speech.,He could not substantiate the dramatic figures he cited.,from substantia — substance,"What does ""substantiate"" mean?",To provide evidence to support a claim.,"Give students 60 seconds to use ""substantiate"" in an original sentence that shows it means ""to provide evidence to support a claim""."
2026-09-10,Succinct,adjective,suc-CINCT,medium,brief and clearly expressed,Succinct is an adjective meaning brief and clearly expressed. Use it when that meaning is exactly what you need in writing or speech.,Her succinct answer impressed the panel.,from succingere — to gird up,"What does ""succinct"" mean?",Brief and clearly expressed.,"Give students 60 seconds to use ""succinct"" in an original sentence that shows it means ""brief and clearly expressed""."
2026-09-11,Ephemeral,adjective,e-phem-er-AL,hard,lasting only a short time,Ephemeral is an adjective meaning lasting only a short time. Use it when that meaning is exactly what you need in writing or speech.,"Fame can be ephemeral, gone before the next news cycle.",from epi + hemera — upon a day,"What does ""ephemeral"" mean?",Lasting only a short time.,"Give students 60 seconds to use ""ephemeral"" in an original sentence that shows it means ""lasting only a short time""."
2026-09-12,Terse,adjective,TERSE,medium,"short and to the point, sometimes rudely","Terse is an adjective meaning short and to the point, sometimes rudely. Use it when that meaning is exactly what you need in writing or speech.",He gave a terse reply and left the room.,from tersus — wiped off,"What does ""terse"" mean?","Short and to the point, sometimes rudely.","Give students 60 seconds to use ""terse"" in an original sentence that shows it means ""short and to the point, sometimes rudely""."
2026-09-13,Futile,adjective,fu-TILE,easy,unlikely to succeed; useless,Futile is an adjective meaning unlikely to succeed; useless. Use it when that meaning is exactly what you need in writing or speech.,It was futile to argue with the stubborn judge.,from futilis — leaky,"What does ""futile"" mean?",Unlikely to succeed; useless.,"Give students 60 seconds to use ""futile"" in an original sentence that shows it means ""unlikely to succeed; useless""."
2026-09-14,Tirade,noun,ti-RADE,medium,"a long, angry speech","Tirade is a noun meaning a long, angry speech. Use it when that meaning is exactly what you need in writing or speech.",The coach launched into a tirade after the loss.,from tirer — to draw out,"What does ""tirade"" mean?","A long, angry speech.","Give students 60 seconds to use ""tirade"" in an original sentence that shows it means ""a long, angry speech""."
2026-09-15,Equanimity,noun,e-qua-nim-i-TY,hard,calmness in difficult situations,Equanimity is a noun meaning calmness in difficult situations. Use it when that meaning is exactly what you need in writing or speech.,She handled the bad news with surprising equanimity.,from aequus + animus — even mind,"What does ""equanimity"" mean?",Calmness in difficult situations.,"Give students 60 seconds to use ""equanimity"" in an original sentence that shows it means ""calmness in difficult situations""."
2026-09-16,Transient,adjective,tran-SIENT,medium,lasting only a short time,Transient is an adjective meaning lasting only a short time. Use it when that meaning is exactly what you need in writing or speech.,Fame in pop music can be transient.,from transire — to go across,"What does ""transient"" mean?",Lasting only a short time.,"Give students 60 seconds to use ""transient"" in an original sentence that shows it means ""lasting only a short time""."
2026-09-17,Hierarchy,noun,hi-er-ar-CHY,easy,a system ranking things or people by importance,Hierarchy is a noun meaning a system ranking things or people by importance. Use it when that meaning is exactly what you need in writing or speech.,The company has a strict hierarchy of decision-makers.,from hieros + archein — sacred rule,"What does ""hierarchy"" mean?",A system ranking things or people by importance.,"Give students 60 seconds to use ""hierarchy"" in an original sentence that shows it means ""a system ranking things or people by importance""."
